[     297ms] [LOG] %c欢迎使用CesiumTdt插件，%c该插件由Jason提供，%c目前支持1.120版本 color: green; font-size: 16px; font-weight: bold; color: blue; font-size: 14px; font-style: italic; color: red; font-size: 14px; font-weight: bold; @ http://localhost:8080/lib/cesiumTdt.js:0
[  906265ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 1666 Y: 388 Level: 10. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  906569ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 1667 Y: 388 Level: 10. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1465514ms] Compressed input was truncated.
[ 1465591ms] Compressed input was truncated.
[ 1582947ms] Compressed input was truncated.
[ 1582947ms] Compressed input was truncated.
[ 1582950ms] Compressed input was truncated.
[ 1582951ms] Compressed input was truncated.
[ 1583012ms] Compressed input was truncated.
[ 1682749ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 64 Y: 31 Level: 6. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1682786ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 129 Y: 63 Level: 7. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1682788ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 32 Y: 15 Level: 5. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683200ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2069 Y: 1019 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683228ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2070 Y: 1019 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683278ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2070 Y: 1020 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683302ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 1033 Y: 509 Level: 10. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683303ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 1035 Y: 509 Level: 10. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683304ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2073 Y: 1018 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683305ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 1033 Y: 510 Level: 10. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683334ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 518 Y: 255 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683335ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 518 Y: 254 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
